words,counts_x,counts_y
rate,125,149
participants,105,144
federal,98,123
inflation,89,112
economic,86,100
projections,71,160
growth,70,80
market,67,79
percent,61,99
funds,57,71
would,57,75
policy,55,69
board,47,39
risks,46,55
monetary,43,54
outlook,43,27
real,41,48
financial,40,23
conditions,40,37
reserve,39,32
governors,38,32
committee,36,66
uncertainty,36,60
continued,32,30
2,31,113
recent,31,39
unemployment,31,48
gdp,29,40
prices,29,23
november,28,5
level,28,50
range,28,60
labor,28,31
could,27,26
longerrun,27,39
remained,27,42
meeting,26,37
also,26,26
2018,25,19
lower,25,35
appropriate,24,51
division,23,20
period,23,26
price,23,30
markets,22,11
noted,22,25
rates,22,27
expected,22,29
open,21,36
developments,21,15
staff,21,21
balance,21,39
september,21,8
strong,21,23
activity,21,24
2021,21,39
december,20,51
path,20,19
median,20,36
pce,20,34
business,20,20
2019,20,62
target,19,34
treasury,19,25
global,19,8
consumer,19,24
banks,18,12
new,18,15
including,18,18
downside,18,15
members,17,18
reserves,17,36
pace,17,20
trade,17,12
near,17,17
20,17,72
future,17,17
total,17,13
information,16,20
little,16,22
likely,16,26
months,16,24
average,16,36
generally,16,20
operations,15,15
interest,15,20
factors,15,13
basis,15,14
quarter,15,37
spending,15,18
increases,15,10
forecast,15,29
measures,14,22
year,14,51
slightly,14,18
core,14,16
2020,14,30
participants,14,31
longrun,13,4
levels,13,18
declined,13,14
gradual,13,3
however,13,15
committees,13,22
increase,13,7
securities,13,41
consistent,13,31
foreign,13,13
us,13,9
expectations,13,13
relative,13,10
estimate,13,5
past,13,18
credit,13,8
projection,13,25
assessment,13,12
discussion,12,12
affairs,12,10
provide,12,14
several,12,11
nominal,12,8
intermeeting,12,13
end,12,24
sep,12,14
fourth,12,21
declines,12,8
around,12,29
figures,12,12
secretary,11,9
deputy,11,11
director,11,9
fomc,11,23
current,11,27
upward,11,3
time,11,13
economy,11,13
weighted,11,17
increased,11,9
household,11,10
forecasts,11,19
upside,11,14
assessments,11,30
judged,11,12
symmetric,11,18
table,11,24
1,10,57
account,10,9
effective,10,8
pressures,10,15
reported,10,4
decline,10,13
liabilities,10,8
commented,10,5
although,10,8
many,10,7
couple,10,8
years,10,21
pointed,10,12
corporate,10,6
yields,10,5
low,10,23
effects,10,9
equity,10,9
data,10,16
run,10,32
balanced,10,12
outcomes,10,18
senior,9,10
portfolio,9,7
reserves,9,17
size,9,9
one,9,7
stance,9,5
concerns,9,3
longer,9,30
projected,9,25
higher,9,15
remain,9,6
change,9,16
gains,9,11
individual,9,12
contacts,9,4
broadly,9,18
shown,9,16
4a,9,10
4c,9,10
confidence,9,36
system,8,10
associate,8,5
manager,8,9
bank,8,12
implementation,8,9
york,8,7
various,8,11
sheet,8,22
survey,8,4
since,8,8
pressure,8,5
still,8,11
significant,8,3
domestic,8,11
risk,8,10
appeared,8,4
spreads,8,7
less,8,6
issuance,8,9
changed,8,13
term,8,9
investment,8,12
indicators,8,12
energy,8,16
may,8,19
agreed,8,9
view,8,14
objective,8,10
errors,8,21
held,7,7
w,7,6
j,7,3
presidents,7,7
david,7,6
assistant,7,6
office,7,6
close,7,4
associated,7,6
number,7,36
distribution,7,9
slowing,7,7
options,7,4
